name,student number,gender,age,phone number
李坤,2002087732,女,21,18089559073
吴金凤,2002011491,男,21,13379581739
萧红霞,2002038002,女,18,17673824387
樊红梅,2002090633,女,18,18592146039
顾勇,2002075551,男,20,13297701673
白霞,2002039620,女,21,17239493267
曹金凤,2002082391,男,18,13485954883
张东,2002012647,女,19,15166439454
熊亮,2002072333,女,21,18863001840
刘燕,2002065939,男,20,18980840774
黄丽丽,2002052269,男,18,15071511595
卢浩,2002096544,女,18,14588648488
兰秀云,2002069126,男,20,14963599480
王倩,2002011183,男,19,14561714499
